# Longitud de onda (micrones)	Flujo (W)
6.133655937947e-01	7.279611441356e-37
6.135129331214e-01	7.306357241128e-37
6.136602724481e-01	7.333103040901e-37
6.138076117748e-01	7.359848840673e-37
6.139549511015e-01	7.386594640445e-37
6.141022904282e-01	7.413340440217e-37
6.142496297549e-01	7.440086239989e-37
6.143969690816e-01	7.466832039761e-37
6.145443084083e-01	7.493577839533e-37
6.146916477350e-01	7.520323639305e-37
6.148389870617e-01	7.547069439078e-37
6.149863263884e-01	7.573815238850e-37
6.151336657151e-01	7.600561038622e-37
6.152810050418e-01	7.627306838394e-37
6.154283443685e-01	7.654052638166e-37
6.155756836952e-01	7.680798437938e-37
6.157230230219e-01	7.707544237710e-37
6.158703623486e-01	7.734290037483e-37
6.160177016753e-01	7.761035837255e-37
6.161650410020e-01	7.787781637027e-37
6.163123803287e-01	7.814527436799e-37
6.164597196555e-01	7.841273236571e-37
6.166070589822e-01	7.868019036343e-37
6.167543983089e-01	7.894764836115e-37
6.169017376356e-01	7.921510635888e-37
6.170490769623e-01	7.948256435660e-37
6.171964162890e-01	7.975002235432e-37
6.173437556157e-01	8.001748035204e-37
6.174910949424e-01	8.028493834976e-37
6.176384342691e-01	8.055239634748e-37
6.177857735958e-01	8.081985434520e-37
6.179331129225e-01	8.108731234292e-37
6.180804522492e-01	8.135477034065e-37
6.182277915759e-01	8.162222833837e-37
6.183751309026e-01	8.188968633609e-37
6.185224702293e-01	8.215714433381e-37
6.186698095560e-01	8.242460233153e-37
6.188171488827e-01	8.269206032925e-37
6.189644882094e-01	8.295951832697e-37
6.191118275361e-01	8.322697632470e-37
6.192591668628e-01	8.349443432242e-37
6.194065061895e-01	8.376189232014e-37
6.195538455162e-01	8.402935031786e-37
6.197011848429e-01	8.429680831558e-37
6.198485241696e-01	8.456426631330e-37
6.199958634963e-01	8.483172431102e-37
6.201432028230e-01	8.509918230874e-37
6.202905421497e-01	8.536664030647e-37
6.204378814764e-01	8.563409830419e-37
6.205852208031e-01	8.590155630191e-37
6.207325601298e-01	8.616901429963e-37
6.208798994565e-01	8.643647229735e-37
6.210272387832e-01	8.670393029507e-37
6.211745781099e-01	8.697138829279e-37
6.213219174366e-01	8.723884629052e-37
6.214692567633e-01	8.750636139292e-37
6.216165960900e-01	8.778079379857e-37
6.217639354167e-01	8.813773289098e-37
6.219112747434e-01	8.863482581840e-37
6.220586140701e-01	8.916853962078e-37
6.222059533968e-01	8.970347933070e-37
6.223532927235e-01	9.023842045332e-37
6.225006320502e-01	9.077336157594e-37
6.226479713769e-01	9.130830269856e-37
6.227953107036e-01	9.184324382119e-37
6.229426500303e-01	9.237818494381e-37
6.230899893570e-01	9.291312606643e-37
6.232373286837e-01	9.344806718906e-37
6.233846680104e-01	9.398300831168e-37
6.235320073371e-01	9.451794943430e-37
6.236793466638e-01	9.505289055692e-37
6.238266859905e-01	9.558783167955e-37
6.239740253172e-01	9.612277280217e-37
6.241213646439e-01	9.665771392479e-37
6.242687039706e-01	9.719265504741e-37
6.244160432973e-01	9.772759617003e-37
6.245633826240e-01	9.826253729266e-37
6.247107219507e-01	9.879747841528e-37
6.248580612774e-01	9.933241953790e-37
6.250054006041e-01	9.986736066052e-37
6.251527399308e-01	1.004023017831e-36
6.253000792575e-01	1.009372429058e-36
6.254474185842e-01	1.014721840284e-36
6.255947579109e-01	1.020071251510e-36
6.257420972376e-01	1.025420662736e-36
6.258894365643e-01	1.030770073963e-36
6.260367758910e-01	1.036119485189e-36
6.261841152177e-01	1.041468896415e-36
6.263314545444e-01	1.046818307641e-36
6.264787938711e-01	1.052167718868e-36
6.266261331978e-01	1.057517130094e-36
6.267734725245e-01	1.062866541320e-36
6.269208118512e-01	1.068215952546e-36
6.270681511779e-01	1.073565363772e-36
6.272154905046e-01	1.078914774999e-36
6.273628298313e-01	1.084264186225e-36
6.275101691580e-01	1.089613597451e-36
6.276575084847e-01	1.094963008677e-36
6.278048478114e-01	1.100312419904e-36
6.279521871381e-01	1.105661831130e-36
6.280995264648e-01	1.111011242356e-36
6.282468657915e-01	1.116360653582e-36
6.283942051182e-01	1.121710064808e-36
6.285415444449e-01	1.127059476035e-36
6.286888837716e-01	1.132408887261e-36
6.288362230983e-01	1.137758298487e-36
6.289835624250e-01	1.143107709713e-36
6.291309017517e-01	1.148457120940e-36
6.292782410784e-01	1.153806532166e-36
6.294255804051e-01	1.159155943392e-36
6.295729197318e-01	1.164505354618e-36
6.297202590585e-01	1.169854765845e-36
6.298675983852e-01	1.175204177071e-36
6.300149377119e-01	1.180553588297e-36
6.301622770386e-01	1.185902999523e-36
6.303096163653e-01	1.191252410749e-36
6.304569556920e-01	1.196601821976e-36
6.306042950187e-01	1.201951233202e-36
6.307516343454e-01	1.207300644428e-36
6.308989736721e-01	1.212650055654e-36
6.310463129988e-01	1.217999466881e-36
6.311936523255e-01	1.223348878107e-36
6.313409916522e-01	1.228698289333e-36
6.314883309789e-01	1.234047700559e-36
6.316356703056e-01	1.239397111785e-36
6.317830096323e-01	1.244746523012e-36
6.319303489590e-01	1.250095934238e-36
6.320776882857e-01	1.255445345464e-36
6.322250276124e-01	1.260794756690e-36
6.323723669391e-01	1.266144167917e-36
6.325197062658e-01	1.271493579143e-36
6.326670455925e-01	1.276842990369e-36
6.328143849192e-01	1.282192401595e-36
6.329617242459e-01	1.287541812822e-36
6.331090635726e-01	1.292891224048e-36
6.332564028993e-01	1.298240635274e-36
6.334037422260e-01	1.303590046500e-36
6.335510815527e-01	1.308939457726e-36
6.336984208794e-01	1.314288868953e-36
6.338457602061e-01	1.319638280179e-36
6.339930995328e-01	1.324987691405e-36
6.341404388595e-01	1.330337102631e-36
6.342877781862e-01	1.335686513858e-36
6.344351175129e-01	1.341035925084e-36
6.345824568396e-01	1.346385336310e-36
6.347297961663e-01	1.351734747536e-36
6.348771354930e-01	1.357084158762e-36
6.350244748197e-01	1.362433569989e-36
6.351718141464e-01	1.367782981215e-36
6.353191534731e-01	1.373132392441e-36
6.354664927998e-01	1.378481803667e-36
6.356138321265e-01	1.383831214894e-36
6.357611714532e-01	1.389180626120e-36
6.359085107799e-01	1.394530037346e-36
6.360558501066e-01	1.399879448572e-36
6.362031894333e-01	1.405228859798e-36
6.363505287600e-01	1.410578271025e-36
6.364978680867e-01	1.415927682251e-36
6.366452074134e-01	1.421277093477e-36
6.367925467401e-01	1.426626504703e-36
6.369398860668e-01	1.431975915930e-36
6.370872253935e-01	1.437325327156e-36
6.372345647202e-01	1.442674738382e-36
6.373819040469e-01	1.448024149608e-36
6.375292433736e-01	1.453373560835e-36
6.376765827003e-01	1.458722972061e-36
6.378239220270e-01	1.464072383287e-36
6.379712613537e-01	1.469421794513e-36
6.381186006804e-01	1.474771205739e-36
6.382659400071e-01	1.480120616966e-36
6.384132793338e-01	1.485470028192e-36
6.385606186605e-01	1.490819439418e-36
6.387079579872e-01	1.496168850644e-36
6.388552973139e-01	1.501518261871e-36
6.390026366406e-01	1.506867673097e-36
6.391499759673e-01	1.512217084323e-36
6.392973152940e-01	1.517566495549e-36
6.394446546207e-01	1.522915906775e-36
6.395919939474e-01	1.528265318002e-36
6.397393332741e-01	1.533614729228e-36
6.398866726008e-01	1.538964140454e-36
6.400340119275e-01	1.544313551680e-36
6.401813512542e-01	1.549662962907e-36
6.403286905809e-01	1.555012374133e-36
