# Longitud de onda (micrones)	Flujo (W)
6.079140387068189266e-01	6.225389750638392942e-37
6.080613780335194507e-01	6.252024585219161871e-37
6.082087173602199748e-01	6.278659419799696098e-37
6.083560566869204989e-01	6.305294254380221137e-37
6.085033960136210229e-01	6.331929088960980043e-37
6.086507353403215470e-01	6.358563923541525963e-37
6.087980746670220711e-01	6.385198758122066872e-37
6.089454139937225952e-01	6.411833592702811579e-37
6.090927533204231192e-01	6.438468427283355829e-37
6.092400926471237543e-01	6.465103261863884209e-37
6.093874319738242784e-01	6.491738096444654809e-37
6.095347713005248025e-01	6.518372931025179013e-37
6.096821106272254376e-01	6.545007765605712404e-37
6.098294499539259617e-01	6.571642600186465464e-37
6.099767892806264857e-01	6.598277434767001361e-37
6.101241286073270098e-01	6.624912269347535588e-37
6.102714679340275339e-01	6.651547103928276954e-37
6.104188072607281690e-01	6.678181938508812851e-37
6.105661465874286931e-01	6.704816773089356266e-37
6.107134859141292171e-01	6.731451607670108490e-37
6.108608252408297412e-01	6.758086442250632694e-37
6.110081645675302653e-01	6.784721276831217871e-37
6.111555038942307894e-01	6.811356111411910793e-37
6.113028432209314245e-01	6.837990945992434997e-37
6.114501825476319485e-01	6.864625780573176363e-37
6.115975218743324726e-01	6.891260615153718107e-37
6.117448612010329967e-01	6.917895449734238970e-37
6.118922005277335208e-01	6.944530284314977830e-37
6.120395398544340448e-01	6.971165118895496188e-37
6.121868791811345689e-01	6.997799953476030415e-37
6.123342185078350930e-01	7.024434788056774286e-37
6.124815578345357281e-01	7.051069622637288468e-37
6.126288971612362522e-01	7.077704457218039021e-37
6.127762364879367762e-01	7.104339291798552367e-37
6.129235758146373003e-01	7.130974126379075736e-37
6.130709151413378244e-01	7.157608960959809585e-37
6.132182544680384595e-01	7.184243795540353835e-37
6.133655937947390946e-01	7.210878630121091025e-37
6.135129331214396187e-01	7.237513464701618570e-37
6.136602724481401427e-01	7.264148299282139433e-37
6.138076117748406668e-01	7.290783133862884140e-37
6.139549511015411909e-01	7.317417968443389968e-37
6.141022904282417150e-01	7.344052803024147204e-37
6.142496297549422390e-01	7.370687637604643845e-37
6.143969690816427631e-01	7.397322472185163873e-37
6.145443084083432872e-01	7.423957306765901063e-37
6.146916477350439223e-01	7.450592141346411068e-37
6.148389870617444464e-01	7.477226975927144082e-37
6.149863263884449704e-01	7.503861810507665780e-37
6.151336657151454945e-01	7.530496645088396288e-37
6.152810050418460186e-01	7.557131479668901282e-37
